Nom,Prenom,IdHAL de l'Auteur,IdHAL des auteurs de la publication,Titre,Docid,Année de Publication,Type de Document,Domaine,Mots-clés,Laboratoire de Recherche
Hetel,Laurentiu,laurentiu-hetel,"['antoine-girard', 'laurentiu-hetel', 'sophie-tarbouriech']",['Control Subject to Computational and Communication Constraints'],1818954,2018,Ouvrage,"Mathématiques, Optimisation et contrôle, Sciences de l'ingénieur, Automatique, Informatique, Domaine non défini","['Sampled-data Systems', 'Event-triggered Architecture', 'Event-based Control', 'Switched Systems', 'Limited Information', 'Computational Constraints', 'Hybrid Dynamical Systems']","[""Laboratoire d'analyse et d'architecture des systèmes"", 'Laboratoire des signaux et systèmes', 'Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189']"
Jaulin,Luc,luc-jaulin,['luc-jaulin'],['Interval Methods and Applications'],1171487,2015,Ouvrage,"Mathématiques, Sciences de l'ingénieur, Automatique","['Automatic', 'Interval methods']","['Laboratoire Pluridisciplinaire de Recherche en Ingénierie des Systèmes, Mécanique et Energétique [2008-2013]', 'Département STIC [Brest]', ""Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance""]"
Jean,Camille,halshs-02212975,['camille-laurent-gengoux'],['Poisson structures'],809199,2013,Ouvrage,Mathématiques,[],"['Institut Élie Cartan de Lorraine', 'Institut Camille Jordan', 'Laboratoire de mathématiques et applications [UMR 7348]']"
Julien,Nathalie,nathalie-julien,"['pierre-petit-67', 'florence-merlevede', 'laurent-miclo', 'emmanuel-rio', 'alain-rouault']",['Séminaire de Probabilités LI'],3676900,2022,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Institut Fourier', 'School of Operations Research and Information Engineering', 'Laboratoire Jacques-Louis Lions', 'Instituto de Matematicas', 'Laboratoire de Mathématiques de Versailles', 'Mathématiques Appliquées Paris 5', 'Laboratoire Analyse et de Mathématiques Appliquées', 'Institut de Mathématiques de Toulouse UMR5219', 'Faculty of Mathematics [Vienna]', 'Modélisation aléatoire de Paris X', 'Laboratoire de Mathématiques Raphaël Salem', 'Institut Camille Jordan', 'Institut Camille Jordan', 'Mathématiques Appliquées Paris 5']"
Korda,Milan,milan-korda,"['didier-henrion', 'milan-korda', 'jean-lasserre']",['The Moment-SOS Hierarchy'],3009026,2020,Ouvrage,"Mathématiques, Optimisation et contrôle, Mathématiques, Mathématiques pures, Statistiques, Domaine non défini, Mathématiques, Mathématiques appliquées, Mathématiques, Domaine non défini","['Moment problems', 'Positive Polynomials', 'Computational geometry', 'Probability', 'Statistics', 'Control', 'Non Linear PDEs']","[""Laboratoire d'analyse et d'architecture des systèmes"", 'Institut de Mathématiques de Toulouse UMR5219']"
Laurent,Guillaume,guillaume-laurent-cmcp,"['mazliak', 'rossana-tazzioli']",['Images of Italian Mathematics in France (1815-1928)'],4014848,2016,Ouvrage,"Mathématiques, Sciences humaines et sociales, Domaine non défini",[],['Laboratoire Paul Painlevé - UMR 8524']
Laurent,Guillaume,guillaume-laurent-cmcp,['frederic-brechenmacher'],['Images of Italian Mathematics in France'],4513500,2016,Ouvrage,"Sciences humaines et sociales, Domaine non défini, Mathématiques",[],"[""Laboratoire interdisciplinaire de l'X""]"
Laurent,Guillaume,guillaume-laurent-cmcp,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Louis,Jean-paul,hal-03567526,['Id non disponible'],['Calculus Without Derivatives'],1451220,2013,Ouvrage,"Mathématiques, Optimisation et contrôle",[],['Laboratoire Jacques-Louis Lions']
Louis,Jean-paul,hal-03567526,['Id non disponible'],['Analysis. From Concepts to Applications'],1451223,2016,Ouvrage,"Mathématiques, Mathématiques, Mathématiques appliquées, Mathématiques, Domaine non défini, Mathématiques, Domaine non défini, Mathématiques, Optimisation et contrôle, Mathématiques, Domaine non défini",[],['Laboratoire Jacques-Louis Lions']
Magron,Victor,victor-magron,['victor-magron'],['Sparse Polynomial Optimization: Theory and Practice'],3760501,2023,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"[""Laboratoire d'analyse et d'architecture des systèmes"", 'Institut de Mathématiques de Toulouse UMR5219']"
Martin,Eric,eric-martin-hocquenghem,"['yves-bertot', 'guillaume-brunerie', 'cyril-cohen']",['Homotopy Type Theory: Univalent Foundations of Mathematics'],935057,2013,Ouvrage,"Informatique, Domaine non défini, Mathématiques, Domaine non défini, Mathématiques, Domaine non défini",[],"['Institut de recherche en informatique de Toulouse', 'Functional Programming Laboratory', ""Laboratoire d'informatique de l'École polytechnique [Palaiseau]"", 'Inria Sophia Antipolis - Méditerranée', 'Department of Computer Science and Engineering [Göteborg]', 'Inria de Paris', 'Institut de Recherche en Informatique Fondamentale', 'Preuves, Programmes et Systèmes', 'Inria Saclay - Ile de France', 'Institute for the History and Philosophy of Science and Technology', 'Institute for Computing and Information Sciences [Nijmegen]', 'Institute for Logic, Language and Computation', 'Laboratoire Jean Alexandre Dieudonné', 'School of Mathematics [Leeds]', 'Department of Pure Mathematics and Mathematical Statistics', 'Microsoft Research - Inria Joint Centre', 'Institut für Informatik [München|Munich]', 'Department of Mathematics and Statistics [Ottawa]', 'Computer Learning Research Centre [Royal Holloway, University of London]', 'Department of Mathematics Stockholm University']"
Martin,Philippe,dominique-philippe-martin,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Michel,Loïc,loic-michel-perrin,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Moulay,Emmanuel,emmanuel-moulay,['emmanuel-moulay'],['Topological Obstructions to Stability and Stabilization'],4162692,2023,Ouvrage,"Mathématiques, Optimisation et contrôle, Informatique, Domaine non défini",[],['XLIM']
Nakhla,Michel,michel-nakhla,['Id non disponible'],"[""Recherche opérationnelle Méthodes d'optimisation en gestion""]",3995160,2010,Ouvrage,"Mathématiques, Informatique, Sciences humaines et sociales",['Programmation linéaire Théorie des Graphes Processus stochastiques'],['Centre de Gestion Scientifique i3']
Niculescu,Silviu,silviu-iulian-niculescu,['silviu-iulian-niculescu'],['Deterministic car-following traffic models. Delay effects and linear stability'],1431320,2017,Ouvrage,"Mathématiques, Domaine non défini, Sciences de l'ingénieur, Automatique",[],"['Laboratoire des signaux et systèmes', 'Inria Saclay - Ile de France', 'Laboratoire des signaux et systèmes', 'Max Planck Institute for Mathematics in the Sciences']"
Niculescu,Silviu,silviu-iulian-niculescu,"['islam-boussaada', 'hugues-mounier', 'silviu-iulian-niculescu']",['Analysis and Control of Oilwell Drilling Vibrations'],1123773,2015,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Domaine non défini",['Bit-bounce - Oilwell Drilling - Stick-slip Phenomena - Time-Delay Systems - Torsional Rectification - Vibration Control'],"['Laboratoire des signaux et systèmes', 'Laboratoire des signaux et systèmes', 'Inria Saclay - Ile de France']"
Olaru,Sorin,sorin-olaru,"['rene-lozi', 'sorin-olaru']","['Difference Equations, Discrete Dynamical Systems and Applications']",4512331,2024,Ouvrage,Mathématiques,[],"['Laboratoire des signaux et systèmes', 'Laboratoire Jean Alexandre Dieudonné']"
